audio,text
wavs/(1).wav,พาย หลัง ที่ บอ ลิ สัด เหมา ปู ญาง อัด สะ ฟ่าน เญียบ แหน้น เส้น ทาง แต่ ไฟ แดง
wavs/(2).wav,ดง ป่า แหลบ หา บ้าน ดอน แดง เมือง จัน ทะ บู ลี นะ คอน หลวง เวียง จัน
wavs/(3).wav,ได้ สำ เล็ด และ เปิด กาน นำ ใช้ แล้ว หลาย คน ที่ ได้ เทียว ไป เทียว มา
wavs/(4).wav,ก่าว ว่า มี ความ สะ ดวก สะ บาย ขึ้น ก่วา เก่า หลาย เพาะ เป็น หน ทาง ที่ ฮาบ เพียง ดี
wavs/(5).wav,บ่อ มี บวก บ่อ มี ขุม ที่ เสี่ยง ต่อ กาน เกิด อุ ปะ ติ เหตุ เหมือน ดั่ง ผ่าน มา
wavs/(6).wav,เกือบ เว ลา หนึ่ง เดือน ที่ ได้ เปิด นำ ใช้ เส้น ทาง ปู ญาง อัด สะ ฟ่าน
wavs/(7).wav,แต่ ไฟ แดง ดง ปา แหลบ บ้าน ดอน แดง มา นี้ เฮ็ด ให้ กาน สัน จอน ตาม เส้น ทาง นี้
wavs/(8).wav,เบ ตง กับ เส้น ทาง ปู ญาง ที่ เข้า กัน ได้ ดี และ มัน ได้ กาย เป็น ใบ หน้า ใหม่ ให้ เมือง จัน ทะ บู ลี
wavs/(9).wav,ล่ง เลี่ยน ขึ้น อีก บาด ก้าว หนึ่ง เป็น เส้น ทาง เซื่อม จอด ละ หว่าง ทาง
wavs/(10).wav,ส้าง ความ สะ ดวก สะ บาย ให้ แก่ ผู้ ใช้ ลด ใช้ ถนน  ใน เส้น ทาง นี้
wavs/(11).wav,พาย หลัง เปิด กาน นำ ใช้ มา บ่อ ฮอด เดือน สัง เกด เห็น ว่า ตาม ตะ แกง เหล็ก อัด ฝา ท่อ ละ บาย น้ำ
wavs/(12).wav,อยู่ สอง ฝาก ทาง บาง บ่อน บาง ฝา เลี่ม มี กวด น้ำ ดื่ม
wavs/(13).wav,ถง ญาง ปลา สะ ติก ต้น ไม้ ใบ หย้า อัด ตัน หลาย ขึ้น
wavs/(14).wav,โดย บ่อ มี ผู้ ใด ผู้ ฮับ ผิด ซอบ เลย ถ้า หาก มี กาน ป่อย ปะ ละ เลย ไป
wavs/(15).wav,คือ แนว นี้ อาด จะ เฮ็ด ให้ ทาง ดี กาย เป็น ทาง ขี้ ฮ้าย
wavs/(16).wav,เต็ม ไป ด้วย บวก ด้วย ขุม ใน อะ นา คด
wavs/(17).wav,กาน ที่ จะ มอบ หมาย ให้ แต่ พะ แนก เกี่ยว ข้อง ลง กวด กา ติด ตาม
wavs/(18).wav,เป็น ปะ จำ นั้น กอ หาก ได้ แต่ มัน เป็น กาน ยาก หลาย
wavs/(19).wav,เพาะ มี ทาง หลาย เส้น ใน นะ คอน หลวง เวียง จัน อยู่ ใน ความ ฮับ ผิด ซอบ
wavs/(20).wav,ที่ ต้อง ได้ ปับ ปุง ส้อม แปง ยก ละ ดับ ให้ ดี ขึ้น
wavs/(21).wav,ทาง หลวง แม่น ซับ สม บัด ของ ซาด
wavs/(22).wav,ดั่ง นั้น จึ่ง อีง ใส่ ผู้ ที่ อยู่ ใก้ล ซิด เป็น ผู้ ดู แล ซ่วย
wavs/(23).wav,น้ำ ไหล ไฟ สะ หว่าง หน ทาง ดี เป็น คำ เว้า ที่ ซ่าง ค้อง จ่อง กัน
wavs/(24).wav,มัน หมาย เถิง ความ มั่ง คั่ง เข้ม แขง ทาง ด้าน เสด ถะ กิด ของ บ่อน นั้นๆ
wavs/(25).wav,ปก ปัก ฮัก สา ให้ มัน นำ ใช้ ได้ ยาว นาน โดย กาน ปก ปัก ฮัก สา นี้ บ่อ แม่น พาก ส่วน ใด หนึ่ง
wavs/(26).wav,เซิ่ง ทุก คน ไฝ่ ฝัน และ พะ ยาม ซอก หา มา ให้ ได้ แต่ ใน เมื่อ ได้ มา แล้ว ต้อง ได้ เอา ใจ ใส่ บู ละ นะ ปัว แปง
wavs/(27).wav,บ่อ แม่น อง กาน จัด ตั้ง ใด หนึ่ง เป็น ผู้ เฮ็ด มัน หาก แม่น หน้า ที่ ของ หมด ทุก คน
wavs/(28).wav,โดย สะ เพาะ แม่น อา ใส ปะ ซา ซน หลาย สิบ หลาย ฮ้อย คอบ คัว ที่ ตั้ง บ้าน เฮือน อยู่ เลียบ ตาม สอง ฝาก ทาง เส้น นี้
wavs/(29).wav,ต้น ตอ แม่น เฮือน ที่ อยู่ ติด แคม ทาง นั้น ละ ให้ เป็น เจ้า กาน สูง บ่อ เฮ็ด ให้ เส้น ทาง เปอะ เปื้อน
wavs/(30).wav,ยิ่ง ไล ยะ นี้ เป็น ยาม ฝน ยิ่ง บ่อ ควน เฮ็ด ให้ ท่อ น้ำ สอง ฝาก ทาง อัด ตัน ด้วย ขี้ เหยื้อ เซ่น
wavs/(31).wav,กวด น้ำ ปลา สะ ติก เสด ถง ญาง ใบ ไม้ บ่อ ควน มัก ง่าย ถอก เสด อา หาน ลง ใส ตะ แกง
wavs/(32).wav,ฝา อัด ท่อ ละ บาย น้ำ และ อื่นๆ ให้ สม กับ คำ ว่า ลัด กับ ปะ ซา ซน ซ่วย กัน เฮ็ด ซ่วย กัน ส้าง สา พัด ทะ นา ให้ จะ เลีน
wavs/(33).wav,ไล ยะ นี้ เลี่ม ก้าว เข้า สู่ ยาม ฝน แล้ว
wavs/(34).wav,เมื่อ ฝน ตก ลง มา กอ จะ มัก มี น้ำ ค้าง น้ำ ขัง อยู่ ถนน  หน ทาง หลาย จุด ใน ตัว เมือง นะ คอน หลวง เวียง จัน
wavs/(35).wav,น้ำ ละ บาย บ่อ ทัน อาด เป็น ย้อน มี ขี้ เหยื้อ หลือ สิ่ง เสด เหลือ อื่น จาก คัว เฮือน อัด ตัน ฮ่อง ละ บาย น้ำ
wavs/(36).wav,เฮ็ด ให้ กาน สัน จอน ไป มา พบ ความ หยุ้ง ยาก สม ควน
wavs/(37).wav,หลือ บาง บ้าน กอ ถ้วม ขัง หนัก เถิง ขั้น ถ้วม เฮือน ซาน กอ มี
wavs/(38).wav,ส้าง ความ เสีย หาย ต่อ ซับ สิน หลาย อย่าง อย่าง หลวง หลาย
wavs/(39).wav,ละ ดู ฝน จะ เฮ็ด ให้ ต้น ไม้ ใบ หย้า นาๆ พัน จะ เลีน เตีบ โต อย่าง ไว
wavs/(40).wav,โดย สะ เพาะ แม่น ผัก ตบ ใน ฮ่อง ละ บาย น้ำ ฮ่อง แซง
wavs/(41).wav,สัง เกด เห็น ว่า ผัก ตบ เลี่ม เตีบ ใหย่ ขะ หยาย ตัว เต็ม ฮ่อง หลาย จุด
wavs/(42).wav,ซึ่ง ฮ่อง น้ำ ดั่ง ก่าว นี้ เป็น ฮ่อง ละ บาย น้ำ สำ คัน ที่ ฮอง ฮับ กาน ละ บาย น้ำ จาก หลาย ตัว เมือง ใน นะ คอน หลวง เวียง จัน
wavs/(43).wav,เซ่น เมือง สี โคด ตะ บอง เมือง จัน ทะ บู ลี และ เมือง ไซ เซด ถา ลง สู่ อ่าง น้ำ บึง ทาด หลวง
wavs/(44).wav,เพื่อ ป้อง กัน น้ำ ถ้วม ขัง เว ลา ฝน ตก หนัก พาก ส่วน เกี่ยว ข้อง ควน เล่ง มือ กำ จัด ผัก ตบ
wavs/(45).wav,และ วัด ซะ พืด หลาย ซะ นิด ออก จาก ฮ่อง น้ำ คอง บึง ต่างๆ ใน ตัว เมือง
wavs/(46).wav,ตั้ง แต่ หัว ที บ่อ ให้ กาย เป็น สิ่ง กีด ขวาง ทาง น้ำ ไหล
wavs/(47).wav,หลือ เฮ็ด ให้ น้ำ ไหล ซ้า ไหล บ่อ สะ ดวก อัน เป็น สา เหตุ หลัก
wavs/(48).wav,ที่ เฮ็ด ให้ มี น้ำ ถ้วม ขัง หลาย บ่อน ใน แต่ ละ ปี ที่ ผ่าน มา
wavs/(49).wav,ผ่าน มา เห็น ได้ ว่า กอ มี หลายๆ พาก ส่วน
wavs/(50).wav,เป็น ต้น อง กาน ปก คอง บ้าน เมือง อง กาน จัด ตั้ง มะ หา ซน ซาว หนุ่ม แม่ ยิง กำ มะ บาน อง กาน จัด ตั้ง ทาง สัง คม
wavs/(51).wav,ให้ ความ สำ คัน หลาย เกี่ยว กับ บัน หา นี้ พาก ส่วน กอ จะ ฮ่วม แฮง ฮ่วม ใจ สา มัก คี กัน
wavs/(52).wav,ออก แฮง งาน อะ นา ไม ลวง ฮ่อง น้ำ ต่างๆ ฮื้อ ถอน
wavs/(53).wav,และ เก็บ เมี้ยน วัด สะ พืด ออก ไป เป็น แต่ ละ อา ทิด ตาม ที่ เฮา เคย เอี้น ว่า ออก แฮง งาน วัน เสา แดง
wavs/(54).wav,แต่ ยัง บ่อ ทัน เห็น พวก ส่วน ใด หลือ อง กาน จัด ตั้ง ใดๆ
wavs/(55).wav,ปี นี้ กอ เซ่น เดียว กัน วัด สะ พืด ได้ เตีบ ใหย่ ขะ หยาย ตัว เต็ม ห้วย ฮ่อง ใน ตัว เมือง แล้ว
wavs/(56).wav,โดย สะ เพาะ แม่น อง กาน จัด ตั้ง ที่ มี ส่วน พัว พัน โดย กง
wavs/(57).wav,ให้ ความ สน ใจ ที่ จะ ลง อะ นา ไม ลวง ตะ คอง ฮ่อง แซง และ ฮ่อง อื่นๆ
wavs/(58).wav,ที่ เกิด มี ผัก ตบ จำ นวน หลาย
wavs/(59).wav,ฮ่อง แซง เป็น ฮ่อง น้ำ ขะ หนาด ใหย่ ที่ ละ บาย น้ำ จาก ตัว เมือง ลง สู่ แหล่ง น้ำ ทำ มะ ซาด
wavs/(60).wav,ทัง มี หลาย จุด ของ ฮ่อง แซง เต็ม ไป ด้วย วัด สะ พืด ที่ ตึบ หนา
wavs/(61).wav,ขวาง ทาง เดีน ของ น้ำ อยู่ อัน เป็น สา เหตุ หนึ่ง ที่ เฮ็ด ให้ เกิด น้ำ ถ้วม ขัง
wavs/(62).wav,ซึ่ง เกี่ยว กับ บัน หา นี้ ใน วัน ที สิบ สอง มิ ถุ นา สอง พัน ซาว สาม นี้
wavs/(63).wav,ผา ตุง ได้ สอบ ถาม ไป ยัง คะ นะ ฮับ ผิด ซอบ ห้อง กาน คุ้ม คอง และ บอ ลิ หาน ตัว เมือง
wavs/(64).wav,เกี่ยว กับ เลื่อง นี้ แล้ว และ ได้ ฮับ คำ ซี้ แจง ว่า
wavs/(65).wav,ได้ มี แผน กาน ใน กาน อะ นา ไม ลวง ฮ่อง ละ บาย น้ำ ฮ่อง แซง แล้ว
wavs/(66).wav,และ พวม ปึก สา หา ลือ กัน อยู่ เพื่อ เกียม ความ พ้อม
wavs/(67).wav,และ อำ นวย ความ สะ ดวก ใน กาน ปะ ติ บัด หน้า ที่ กำ จัด ผัก ตบ
wavs/(68).wav,และ วัด สะ พืด ซะ นิด ต่างๆ ออก จาก ฮ่อง น้ำ ต่างๆ
wavs/(69).wav,แต่ ยัง ลอ ถ้า กาน ซี้ นำ จาก ขั้น เทิง ใน กาน ปะ ติ บัด ตัว จิง ใน ไวๆ นี้
wavs/(70).wav,บัน ดา ตัว เมือง ใหย่ โดย สะ เพาะ นะ คอน หลวง เวียง จัน
wavs/(71).wav,พอ หน้า ฝน มา มัก เกิด บัน หา น้ำ ถ้วม ขัง ตาม ถนน  หน ทาง
wavs/(72).wav,และ เฮือน ซาน ปะ ซา ซน หลาย จุด
wavs/(73).wav,เนื่อง จาก บัน หา ฮ่อง ละ บาย น้ำ ที่ มี อยู่ นั้น ละ บาย น้ำ บ่อ ทัน
wavs/(74).wav,มี บาง บ่อน มี ขี้ เหยื้อ ขี้ ดิน อุด ตัน และ
wavs/(75).wav,กาน ที่ ฮ่อง ละ บาย น้ำ ใน ตัว เมือง อุด ตัน
wavs/(76).wav,ส่วน หนึ่ง เกิด จาก ความ บ่อ เอา ใจ ใส่ ของ คน ใน สัง คม จำ นวน หนึ่ง
wavs/(77).wav,ซาว นะ คอน หลวง เวียง จัน หลือ ตัว เมือง อื่นๆ ทั่ว ปะ เทด
wavs/(78).wav,เซ่น มัก ถิ้ม ขี้ เหยื้อ ซะ ซาย และ สิ่ง เสด เหลือ ต่างๆ ลง ฮ่อง ลง คอง ละ บาย น้ำ
wavs/(79).wav,ที่ เคย เกิด มี น้ำ ถ้วม ขัง และ ทุก กาน จัด ตั้ง ทุก พาก ส่วน จ่ง ซ่วย กัน อะ นา ไม
wavs/(80).wav,เอา ขี้ เหยื้อ ออก จาก ฮ่อง ละ บาย น้ำ ถ้า เฮือน ใผ อยู่ ใก้ล หลือ ติด แคม ทาง ใหย่
wavs/(81).wav,หลือ มี ฮ่อง ละ บาย น้ำ อยู่ หน้า เฮือน กอ ให้ พ้อม กัน ซ่วย ขุด ลวง ฮ่อง ละ บาย น้ำ
wavs/(82).wav,จก เอา สิ่ง อุด ตัน ออก เพื่อ ซ่วย ให้ น้ำ ไหล สะ ดวก
wavs/(83).wav,และ ส่ง กิ่น เหม็น ที่ เกิด จาก น้ำ ที่ ใช้ แล้ว หลือ สิ่ง เสด เหลือ อื่นๆ ที่ สะ สม อยู่ เป็น เว ลา ดน นาน
wavs/(84).wav,ไล ยะ นี้ ฝน กำ ลัง เลี่ม ตก ถี่ ขึ้น อาด เฮ็ด ให้ น้ำ ถ้วม ขัง หลาย จุด ใน ตัว เมือง นะ คอน หลวง เวียง จัน
wavs/(85).wav,สะ นั้น เฮา ต้อง ฮ่วม มือ กัน ใน กาน แก้ ไข บัน หา น้ำ ถ้วม ขัง ใน ตัว เมือง
wavs/(86).wav,และ กาน แก้ ไข บัน หา นี้ ถือ ว่า เป็น เลื่อง ที่ ทุก คน ต้อง ได้ ฮ่วม แฮง ฮ่วม ใจ กัน
wavs/(87).wav,ญ่า ถิ้ม ขี้ เหยื้อ สิ่ง เสด เหลือ ลง ฮ่อง ละ บาย น้ำ เพาะ จะ ไป อุด ตัน
wavs/(88).wav,เฮ็ด ให้ น้ำ ไหล บ่อ สะ ดวก สิ่ง สำ คัน กอ ขอ ให้ ความ ฮ่วม มือ เป็น หน้า ที่ ของ ทุก คน
wavs/(89).wav,และ ควน เฮ็ด เป็น ปะ จำ บ่อ ควน อา ไส พาก ส่วน เกี่ยว ข้อง มา ฮับ ผิด ซอบ อย่าง เดียว
wavs/(90).wav,และ หน่วย งาน ที่ เกี่ยว ข้อง ต่างๆ กอ ควน ฮีบ ฮ้อน หา วิ ที ป้อง กัน แต่ หัว ที
wavs/(91).wav,เพื่อ บ่อ ให้ เกิด มี น้ำ ถ้วม ขัง เหมือน ดั่ง ปี ที่ ผ่านๆ มา
wavs/(92).wav,เมื่อ ฮอด วัน ที สาม สิบ เอ็ด พึด สะ พา ของ ทุกๆ ปี ซึ่ง เป็น วัน งด สูบ ญา โลก
wavs/(93).wav,แต่ ละ ปะ เทด ได้ จัด ตั้ง สะ เหลีม สะ หลอง วัน สำ คัน นี้ อย่าง กว้าง ขวาง ด้วย กาน จัด
wavs/(94).wav,หลาย กิด จะ กำ ที่ แตก ต่าง กัน ไป เป็น ต้น แม่น จัด ขะ บวน ย่าง
wavs/(95).wav,แข่ง ขัน กิ ลา เพื่อ สุ ขะ พาบ และ อื่นๆ ตาม เงื่อน ไข ที่ เหมาะ สม
wavs/(96).wav,และ ปี สอง พัน ซาว สาม นี้ จัด ขึ้น พาย ใต้ คำ ขวัน ปูก พืด ที่ กิน ได้ ทด แทน กาน ปูก ญา สูบ
wavs/(97).wav,ซึ่ง มัน สอด ค่อง กับ นะ โย บาย ของ ลัด ถะ บาน
wavs/(98).wav,ใน กาน ส่ง เสริม ปูก พืด กะ สิ กำ ซะ นิด อื่น ทด แทน กาน ปูก ญา สูบ
wavs/(99).wav,ปัด จุ บัน มี เจ็ด สิบ เก้า ปะ เทด ใน ทั่ว โลก กำ ลัง พบ บัน หา กาน บ่อ ค้ำ ปะ กัน สะ เบียง อา หาน
wavs/(100).wav,โดย สะ เพาะ ปะ เทด ที่ มี ลาย ฮับ ต่ำ และ ลาย ฮับ ปาน กาง
wavs/(101).wav,สะ เพาะ ใน บัน ดา ปะ เทด สะ มา ซิก อา เซียน มี ปะ ซา กอน เถิง หก สิบ ล้าน คน
wavs/(102).wav,ได้ ฮับ อา หาน ที่ มี โพ ซะ นา กาน บ่อ คบ ถ้วน ด้วย เหตุ นั้น ควน เปี่ยน จาก เนื้อ ที่ จาก กาน
wavs/(103).wav,ปูก ญา สูบ แล้ว หัน มา ปูก พืด ที่ กิน ได้
wavs/(104).wav,และ มี สาน อา หาน คบ ถ้วน และ ฮับ ปะ กัน ให้ มี กาน ค้ำ ปะ กัน สะ เบียง อา หาน อย่าง ทั่ว เถิง
wavs/(105).wav,ปี สอง พัน สิบ เก้า ใน พาก พื้น อา เซียน ได้ นำ ใช้ เนื้อ ที่ เพื่อ ปูก ญา สูบ หลาย กว่า สาม แสน สอง หมื่น หนึ่ง พัน ห้า ฮ้อย เจ็ด สิบ ห้า เฮ็ก ต้า
wavs/(106).wav,ทั่ง ที่ เนื้อ ที่ เหล่า นี้ สา มาด ให้ ผน ผะ ลิด ด้าน กะ สิ กำ ปะ เพด พืด ผัก และ หมาก ไม้ สาม สิบ แปด พัน ห้า ฮ้อย ก่วา โตน
wavs/(107).wav,ซึ่ง มัน เพียง พอ ต่อ ความ ต้อง กาน บอ ลิ โพก ของ ปะ ซา ซน อา เซียน ใน แต่ ละ มื้อ สอง แสน ห้า สิบ พัน คน ใน หนึ่ง ปี
wavs/(108).wav,เว้า เลื่อง กาน ปูก ญา สูบ ใน เมื่อ ก่อน นอก จาก กาน เฮ็ด นา ปูก เข้า เป็น ต้น ตอ แล้ว
wavs/(109).wav,ซาว นา กะ สิ กอน จำ นวน หนึ่ง ได้ หัน เอา เนื้อ ที่ เหล่า นั้น มา ปูก ญา สูบ ใน ยาม แล้ง
wavs/(110).wav,เพาะ กาน ปูก ญา สูบ นั้น เป็น อา ซีบ หนึ่ง ที่ ส้าง ลาย ได้ ดี สม ควน
wavs/(111).wav,และ ติด พัน กับ กาน ดำ ลง ซี วิด ของ ปะ ซา ซน ซาว กะ สิ กอน บ่อ จัก เท่า ใด เซ่น คน แล้ว
wavs/(112).wav,และ มี จำ นวน หนึ่ง ได้ บุก เบีก เนื้อ ที่ กาน ผะ ลิด มา ปูก ญา สูบ เพื่อ ป้อน โฮง งาน ญา สูบ โดย สะ เพาะ
wavs/(113).wav,ซึ่ง กอ เป็น กาน ยาก ที่ จะ แก้ ไข ได้ ใน เว ลา อัน สั้นๆ
wavs/(114).wav,กาน ที่ ลัด ถะ บาน มี แนว ทาง ซุก ยู้ ส่ง เสริม ให้ ผู้ ปูก ญา สูบ
wavs/(115).wav,หัน มา ปูก พืด ที่ กิน ได้ แทน กาน ปูก ญา สูบ
wavs/(116).wav,เห็น ว่า เป็น สิ่ง ที่ ดี ที่ สุด แล้ว แต่ ญาก ให้ ปา กด เป็น ฮูบ เป็น ฮ่าง ขึ้น มา
wavs/(117).wav,มัน ต้อง มี ปัด ไจ หลาย อย่าง เข้า ซ่วย เป็น ต้น กาน วาง แผน กำ นด เนื้อ ที่ ปูก
wavs/(118).wav,กาน ซ่วย เหลือ ทาง ด้าน เต็ก นิก วิ ซา กาน กาน เข้า เถิง แหล่ง สะ หนอง ทึน กาน ผะ ลิด
wavs/(119).wav,มี ตะ หลาด จำ หน่าย ที่ แน่ นอน และ ปัด ไจ อื่นๆ เข้า ซ่วย ตื่ม อีก
wavs/(120).wav,ปัด จุ บัน นี้ อยู่ ลาว เฮา ยัง มี ปะ ซา ซน จำ นวน บ่อ หน้อย ปูก ญา สูบ เพื่อ สะ หนอง ให้ โฮง งาน ผะ ลิด ญา สูบ
wavs/(121).wav,ย้อน มี ความ เข้า ใจ ว่า กาน ปูก ญา สูบ ยัง แม่น อา ซีบ ต้น ตอ
wavs/(122).wav,ที่ ส้าง ลาย ฮับ ให้ ตน เอง และ คอบ คัว หลาย ก่วา กาน ปูก พืด ผัก ซะ นิด อื่น
wavs/(123).wav,และ ยัง คิด ว่า กาน ปูก ญา สูบ บ่อ เป็น อัน ตะ ลาย ต่อ สุ ขะ พาบ
wavs/(124).wav,เพาะ อา ซีบ นี้ ได้ ติด พัน กับ เขา เจ้า มา เป็น เว ลา อัน ยาว นาน แล้ว
wavs/(125).wav,ใน ความ เป็น จิง แล้ว กาน ปูก ญา สูบ ได้ ส่ง ผน กะ ทบ ใน หลาย ด้าน
wavs/(126).wav,นับ ทัง สุ ขะ พาบ ของ ซาว สวน ผู้ ปูก ญา สูบ ที่ ต้อง ทน ทุก ทอ ละ มาน กับ พะ ยาด ใบ เขียว
wavs/(127).wav,และ ยัง ส่ง ผน กะ ทบ ต่อ สิ่ง แวด ล้อม ที่ ต้อง สูน เสีย เนื้อ ที่ ป่า ไม้ เพื่อ ปูก ญา สูบ
wavs/(128).wav,ดิน ที่ ใช้ ปูก ญา สูบ จะ สูน เสีย ความ อุ ดม สม บูน ของ ดิน
wavs/(129).wav,เนื่อง จาก กาน ปูก ญา สูบ ต้อง ใช้ ปุ๋ย และ ญา ข้า แมง ไม้ เป็น จำ นวน หลาย
wavs/(130).wav,เฮ็ด ให้ บ่อ สา มาด ปูก พืด เป็น อา หาน ใน ดิน ตอน นั้น ได้ อีก
wavs/(131).wav,สะ นั้น กาน ที่ พาก อุด สา หะ กำ ญา สูบ พะ ยา ยาม ส่ง เสริม ให้ ซาว สวน ปูก ญา สูบ นั้น
wavs/136_trim.wav,ควน หัน มา ละ ดม ให้ เขา เจ้า ปูก พืด กิน ได้ แทน ที่ จึ่ง จะ บ่อ ส่ง ผน ให้ สิ่ง แวด ล้อม ถืก ทำ ลาย
wavs/137_trim.wav,สาน เค มี บ่อ ตก ค้าง ปะ ซา ซน บ่อ เจ็บ เป็น และ จะ บ่อ เฮ็ด ให้ คน ขาด แคน อา หาน
wavs/138_trim.wav,นับ แต่ เดือน มิ ถุ นา หา ต้น เดือน กอ ละ กด ของ ทุกๆ ปี แม่น ไล ยะ ฝน ต้น ละ ดู
wavs/139_trim.wav,เป็น ไล ยะ เหมาะ แก่ กาน ปูก ต้น ไม้ และ บัน ดา พืด พัน ทัน ยา หาน หลาย ซะ นิด
wavs/140_trim.wav,สะ นั้น พัก และ ลัด ถะ บาน เฮา จึ่ง เล็ง เห็น ความ สำ คัน ได้ กำ นด เอา วัน ที หนึ่ง
wavs/141_trim.wav,มิ ถุ นา เป็น วัน ปูก ต้น ไม้ แห่ง ซาด
wavs/142_trim.wav,เพาะ ว่า เป็น ไล ยะ ฝน ตก ใหม่ พาย หลัง เฮา ลง มือ ปูก ต้น ไม้
wavs/143_trim.wav,และ พืด ผัก ต่างๆ ลง แล้ว ฝน กอ จะ ตก ลง มา โฮย ฮำ เป็น ไล ยะๆ
wavs/144_trim.wav,จาก นั้น ต้น ไม้ ที่ เฮา ปูก กอ จะ ติด และ เลี่ม เตีบ โต ใหย่ ขึ้น ไป ตาม อา ยุ กาน และ ละ ดู กาน
wavs/145_trim.wav,พิ เสด ใน สะ ไหม นี้ เป็น ยุก เต็ก โน โล ซี ทัน สะ ไหม ก้าว หน้า ล้ำ ยุก
wavs/146_trim.wav,เพื่อ ให้ ต้น ไม้ หลือ พืด ผัก ที่ เฮา ปูก ลง ดิน มี กาน เตีบ โต เขียว งาม และ ใหย่ ไว
wavs/147_trim.wav,เฮา ยัง ต้อง ได้ ใส่ ฝุ่น วิ ทะ ยา สาด ฝุ่น ซีวะ พาบ สาน กะ ตุ้น น้ำ ญา ข้า สัด ตู พืด หลือ ด้วย วิ ที กาน อื่นๆ
wavs/148_trim_01.wav,ที่ เหมาะ สม กับ อา กาด และ สะ พาบ แวด ล้อม นอก จาก นั้น แล้ว ยัง พัว พัน ไป เถิง กาน ปก ปัก ฮัก สา ด้วย วิ ที กาน อื่นๆ ตื่ม อีก
wavs/149_trim_01.wav,เซ่น เฮ็ด ฮั้ว อ้อม ต้น ไม้ แต่ ละ ต้น เพื่อ บ่อ ให้ งัว ควาย หลือ สัด เลี้ยง เข้า ไป กิน
